TOTAL_BASES	EXPECTED_COVERED_BASES	LOWER_95%CI	UPPER_95%CI
558500000000.0	1616449959.5	1554696721.4	1680656063.3
558600000000.0	1616450879.0	1554697525.7	1680657106.1
558700000000.0	1616451798.2	1554698329.6	1680658148.5
558800000000.0	1616452717.1	1554699133.3	1680659190.5
558900000000.0	1616453635.7	1554699936.6	1680660232.1
559000000000.0	1616454553.9	1554700739.7	1680661273.4
559100000000.0	1616455471.9	1554701542.5	1680662314.3
559200000000.0	1616456389.4	1554702345.0	1680663354.9
559300000000.0	1616457306.7	1554703147.2	1680664395.0
559400000000.0	1616458223.6	1554703949.2	1680665434.8
559500000000.0	1616459140.2	1554704750.8	1680666474.2
559600000000.0	1616460056.5	1554705552.2	1680667513.3
559700000000.0	1616460972.5	1554706353.3	1680668552.0
559800000000.0	1616461888.1	1554707154.1	1680669590.3
559900000000.0	1616462803.4	1554707954.6	1680670628.2
560000000000.0	1616463718.4	1554708754.8	1680671665.8
560100000000.0	1616464633.0	1554709554.7	1680672703.0
560200000000.0	1616465547.3	1554710354.4	1680673739.9
560300000000.0	1616466461.3	1554711153.8	1680674776.3
560400000000.0	1616467375.0	1554711952.8	1680675812.4
560500000000.0	1616468288.3	1554712751.6	1680676848.2
560600000000.0	1616469201.4	1554713550.2	1680677883.5
560700000000.0	1616470114.1	1554714348.4	1680678918.5
560800000000.0	1616471026.4	1554715146.3	1680679953.1
560900000000.0	1616471938.5	1554715944.0	1680680987.4
561000000000.0	1616472850.2	1554716741.4	1680682021.3
561100000000.0	1616473761.6	1554717538.5	1680683054.8
561200000000.0	1616474672.7	1554718335.3	1680684088.0
561300000000.0	1616475583.4	1554719131.8	1680685120.8
561400000000.0	1616476493.9	1554719928.1	1680686153.2
561500000000.0	1616477404.0	1554720724.1	1680687185.3
561600000000.0	1616478313.8	1554721519.7	1680688216.9
561700000000.0	1616479223.2	1554722315.1	1680689248.3
561800000000.0	1616480132.4	1554723110.3	1680690279.2
561900000000.0	1616481041.2	1554723905.1	1680691309.8
562000000000.0	1616481949.7	1554724699.7	1680692340.1
562100000000.0	1616482857.8	1554725493.9	1680693369.9
562200000000.0	1616483765.7	1554726287.9	1680694399.4
